base_intent_id,model_name,group_response_count,group_core_sensitivity,group_semantic_sensitivity
MARK_M08,Gemini,10,0.3839410578228641,0.1150811964204667
MARK_M09,ChatGPT,3,0.4659972081205186,0.3028100858671006
MARK_M09,Claude,9,0.576958377485584,0.4051524581373686
MARK_M09,Gemini,10,0.5889363122279875,0.3490179918744999
MARK_M10,ChatGPT,4,0.5036374014798447,0.2535554991696139
MARK_M10,Claude,9,0.5927810202388825,0.3832741192299511
MARK_M10,Gemini,10,0.5698026930828284,0.3203204496670747
MARK_M11,Claude,9,0.5215862952238988,0.2850573026238682
MARK_M11,Gemini,10,0.4746556489133817,0.2251869989278054
MARK_M12,Claude,10,0.5824446880600639,0.34811718977449435
MARK_M12,Gemini,10,0.5665555420803927,0.3625145602495423
MARK_M13,ChatGPT,3,0.3925583060427318,0.16404068975309616
MARK_M13,Claude,10,0.4936846579103583,0.20101769479299966
MARK_M13,Gemini,10,0.4535051658153235,0.16627314629778445
MARK_M14,Claude,10,0.5666418274683679,0.29413538180319765
MARK_M14,Gemini,10,0.49751552586064623,0.24748413421396812
MARK_M15,ChatGPT,5,0.5222642927006123,0.2778338681896083
MARK_M15,Claude,9,0.5449170489928848,0.3117780984812913
MARK_M15,Gemini,10,0.580390839301614,0.34922318366969984
MARK_M16,Claude,9,0.5037796303256606,0.2589249433254439
MARK_M16,Gemini,10,0.45918094626352246,0.20146958546876545
MARK_M17,ChatGPT,4,0.42552351670053395,0.1495230944109983
MARK_M17,Claude,10,0.5296938006210405,0.27420048191047997
MARK_M17,Gemini,10,0.5165105989218984,0.24719822934280494
MARK_M18,ChatGPT,3,0.2923483751333583,0.09244344951287842
MARK_M18,Claude,9,0.4650785770150413,0.20615529721592088
MARK_M18,Gemini,10,0.40647928759565877,0.12822915556749584
MARK_M19,ChatGPT,5,0.5159936813443327,0.3049319192404859
MARK_M19,Claude,10,0.6340635824907004,0.41631972725923044
MARK_M19,Gemini,10,0.5413147064460997,0.31413931315306237
MARK_M20,ChatGPT,3,0.43389427331955904,0.251551753807061
MARK_M20,Claude,9,0.4541464813659571,0.17794596120482384
MARK_M20,Gemini,10,0.42692229930724734,0.14127062823154263
SPOR_S01,Claude,10,0.5188709141358412,0.3257900884422447
SPOR_S01,Gemini,10,0.4989803630066678,0.2441123830185325
SPOR_S02,ChatGPT,4,0.40229839423031244,0.1255651046698088
SPOR_S02,Claude,10,0.46124980731500315,0.19887912769120125
SPOR_S02,Gemini,10,0.44780193896610915,0.16814542768117774
SPOR_S03,ChatGPT,5,0.44446804292575876,0.17114998457885489
SPOR_S03,Claude,10,0.5206293233569746,0.30173497659859627
SPOR_S03,Gemini,10,0.5639512447630166,0.3571477364539118
SPOR_S04,Claude,9,0.5831878029712574,0.3782947585152369
SPOR_S04,Gemini,10,0.5935132676924373,0.3472635979653619
SPOR_S05,ChatGPT,5,0.4436953753680233,0.2111949775092783
SPOR_S05,Claude,10,0.589506233276588,0.36964757303101337
SPOR_S05,Gemini,10,0.49605289250818824,0.23840150300800017
SPOR_S06,ChatGPT,6,0.6309095230829723,0.4009057986270423
SPOR_S06,Claude,10,0.5796176522524588,0.3472766618596003
SPOR_S06,Gemini,10,0.43243212741777537,0.1621837694759113
SPOR_S07,ChatGPT,5,0.4051354964958298,0.16007957533135064
SPOR_S07,Claude,10,0.4895680651018675,0.2266925585345009
SPOR_S07,Gemini,10,0.4807870323300022,0.19537094390681972
SPOR_S08,ChatGPT,3,0.45197840395645095,0.2728124551222236
SPOR_S08,Claude,9,0.5260822359508797,0.31840643482428677
SPOR_S08,Gemini,10,0.5862243446650303,0.33198410117394467
SPOR_S09,Claude,9,0.536146849929882,0.3788355766764389
SPOR_S09,Gemini,10,0.5424359718019587,0.2915375707485729
SPOR_S10,ChatGPT,3,0.39608651919442966,0.20452885373620236
SPOR_S10,Claude,9,0.5411618071169051,0.31046275219450137
SPOR_S10,Gemini,10,0.5034342274978736,0.2555426635270185
SPOR_S11,ChatGPT,3,0.4215248645380297,0.24785414725122165
SPOR_S11,Claude,10,0.5054652489896434,0.237196230971221
SPOR_S11,Gemini,10,0.538100487943052,0.25957812483985243
SPOR_S12,ChatGPT,3,0.39450280740249716,0.20068648747066953
SPOR_S12,Claude,10,0.567801218581537,0.35736970530145395
SPOR_S12,Gemini,10,0.5426879203429887,0.3131887496518865
SPOR_S13,ChatGPT,4,0.6343694220606093,0.36124282456361206
SPOR_S13,Claude,10,0.4406942704997726,0.1596707400892425
SPOR_S13,Gemini,10,0.39967618472294564,0.14769422134465116
SPOR_S14,ChatGPT,4,0.5517893265293339,0.3560486829393601
SPOR_S14,Claude,10,0.5666321674705859,0.3719379096279776
SPOR_S14,Gemini,10,0.6021260472030616,0.3733023039271736
SPOR_S15,ChatGPT,5,0.4687341124955635,0.19698391429804607
SPOR_S15,Claude,10,0.5531274173953478,0.32258138633086536
SPOR_S15,Gemini,10,0.4981442748398896,0.2251335786598126
SPOR_S16,ChatGPT,3,0.4547618197744276,0.22180425430214976
SPOR_S16,Claude,10,0.6182545472187657,0.4704765095603759
SPOR_S16,Gemini,10,0.6149235130348033,0.3936339949101858
SPOR_S17,ChatGPT,3,0.3632681856539448,0.12105223245054642
SPOR_S17,Claude,10,0.46250169800585494,0.22184309414924294
SPOR_S17,Gemini,10,0.452830528029964,0.19412259058654166
SPOR_S18,ChatGPT,3,0.3118562476854605,0.07492508485824119
SPOR_S18,Claude,10,0.48448461493355993,0.21275618295534854
SPOR_S18,Gemini,10,0.42336528586375655,0.13690752782905127
SPOR_S19,Claude,10,0.559376498570814,0.31658813623151827
SPOR_S19,Gemini,10,0.528768007895579,0.27773859537944556
SPOR_S20,ChatGPT,3,0.40607683851140547,0.08022399959677833
SPOR_S20,Claude,10,0.48347540776568215,0.19802268146527302
SPOR_S20,Gemini,10,0.4444432643683839,0.15668405314907857
TECH_T01,ChatGPT,3,0.3685765504994876,0.18819667981163526
TECH_T01,Claude,10,0.553834105823162,0.34370982760482216
TECH_T01,Gemini,10,0.4881186719018021,0.23054169384194356
TECH_T02,Claude,10,0.5527482507927549,0.35424276788867504
TECH_T02,Gemini,10,0.5208113708306423,0.30554352058890066
TECH_T03,Claude,10,0.4418524612851451,0.16566470209114953
TECH_T03,Gemini,10,0.37264853486531646,0.09230470777545756
TECH_T04,ChatGPT,4,0.38465394130847835,0.1268695100434565
TECH_T04,Claude,10,0.5338023797315217,0.29347354509360074
TECH_T04,Gemini,10,0.4936343373348436,0.2014100293762592
TECH_T05,Claude,9,0.5618595599626526,0.3489479165177067
TECH_T05,Gemini,10,0.47927471317200354,0.22095148843366158
TECH_T06,ChatGPT,3,0.35538742431455805,0.1098072142501838
TECH_T06,Claude,10,0.5734530425384989,0.3565141512852698
TECH_T06,Gemini,10,0.47186030265511825,0.20815309525582476
TECH_T07,Claude,10,0.513909946052314,0.2830525908431024
TECH_T07,Gemini,10,0.4961976289253799,0.25459580661668785
TECH_T08,Claude,10,0.5570155034925022,0.3007651380653027
TECH_T08,Gemini,10,0.46935594288287275,0.20626369806782244
TECH_T09,ChatGPT,5,0.42508674539843894,0.19427214984923807
TECH_T09,Claude,10,0.5549257470645251,0.374529510464436
TECH_T09,Gemini,10,0.5469315782413171,0.39231494686490365
