base_intent_id,domain,model_name,group_response_count,group_core_sensitivity,group_semantic_sensitivity,group_claim_risk_proxy,group_recommendation_instability,group_token_ceiling_rate
FINA_F09,Finance,Claude,10,0.5376684217138924,0.31040426521910514,0.8,1.0,0.0
FINA_F09,Finance,Gemini,10,0.5269648871228223,0.2741571171932392,0.8949999999999999,1.0,0.0
FINA_F10,Finance,ChatGPT,10,0.6120615177217531,0.38190473739807873,0.755,0.9990740740740741,0.7
FINA_F10,Finance,Claude,10,0.5942642820782018,0.39636610375942744,0.825,0.999089253187614,0.0
FINA_F10,Finance,Gemini,10,0.5491034960927867,0.3234923147461098,0.74,1.0,0.0
FINA_F11,Finance,ChatGPT,10,0.3888985663080641,0.13116903027314047,0.755,0.9858916357144213,0.7
FINA_F11,Finance,Claude,10,0.4520171680739666,0.20493383091276213,0.8949999999999999,0.9891978109385852,0.1
FINA_F11,Finance,Gemini,10,0.43289508061807636,0.1683424224734011,0.74,0.9944444444444445,0.0
FINA_F12,Finance,ChatGPT,9,0.41172354777449544,0.14140303677001465,0.7888888888888889,0.972494603902167,0.4444444444444444
FINA_F12,Finance,Claude,10,0.4401581743826604,0.17857017387926286,0.585,0.9930499354914379,0.1
FINA_F12,Finance,Gemini,10,0.40637300434197143,0.15667098102484805,0.78,0.9960317460317462,0.0
FINA_F13,Finance,ChatGPT,10,0.4385739730432672,0.158101109336176,0.8949999999999999,0.996518798316184,0.9
FINA_F13,Finance,Claude,10,0.506300642934949,0.26984368770664985,0.8400000000000001,0.9826501141135288,0.0
FINA_F13,Finance,Gemini,10,0.4382482518189274,0.20799251809552652,0.8800000000000001,0.9972527472527473,0.0
FINA_F14,Finance,ChatGPT,10,0.47590691186112244,0.2513399876343979,0.97,0.9967726784755769,0.6
FINA_F14,Finance,Claude,10,0.6009031228263433,0.3759078364216667,0.6849999999999999,0.994724375538329,0.0
FINA_F14,Finance,Gemini,10,0.5494573840437571,0.3293600986640055,0.8800000000000001,1.0,0.0
FINA_F15,Finance,ChatGPT,9,0.4248251939467591,0.11244981850094798,0.711111111111111,0.9913828288224676,0.7777777777777778
FINA_F15,Finance,Claude,10,0.4756071935103538,0.20495444235002847,0.8099999999999999,0.9946428571428572,0.0
FINA_F15,Finance,Gemini,10,0.45068495473826714,0.1936088420843064,0.7,0.9814568419960578,0.0
FINA_F16,Finance,ChatGPT,10,0.48817329997098335,0.236625709512226,0.7849999999999999,0.9899588321468611,0.9
FINA_F16,Finance,Claude,10,0.45425716565784946,0.1802183070927116,0.63,0.9972166105499439,0.1
FINA_F16,Finance,Gemini,10,0.42855628161694925,0.17054438771483968,0.6849999999999999,0.9955128205128204,0.0
FINA_F17,Finance,ChatGPT,10,0.5306851779317594,0.26032451807015017,0.8400000000000001,0.9952862457399663,0.8
FINA_F17,Finance,Claude,10,0.5093772669808405,0.27711508984999894,0.8949999999999999,0.9933037887140672,0.0
FINA_F17,Finance,Gemini,10,0.4782619345648471,0.20782763630716272,0.8699999999999999,0.9953703703703705,0.0
FINA_F18,Finance,ChatGPT,10,0.4393907809598061,0.17934765133521574,0.585,0.9962324393358877,0.5
FINA_F18,Finance,Claude,10,0.46002020889685885,0.21033941682308224,0.5,1.0,0.1
FINA_F18,Finance,Gemini,10,0.43931829923416627,0.16376488054996918,0.795,0.988425925925926,0.0
